word1	word1-translated	word2	word2-translated	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
old	پرانا	new	نئی	A	1.58	2.72	2.81	2	7.25	1	0.41
smart	ہوشیار	intelligent	ذہین	A	9.2	1.75	2.46	1	7.11	1	0.67
hard	سخت	difficult	مشکل	A	8.77	3.76	2.21	2	5.94	1	1.19
happy	خوش ہوں	cheerful	خوشگوار	A	9.55	2.56	2.34	1	5.85	1	2.18
hard	سخت	easy	آسان	A	0.95	3.76	2.07	2	5.82	1	0.93
fast	تیز	rapid	تیز رفتار	A	8.75	3.32	3.07	2	5.66	1	1.68
happy	خوش ہوں	glad	خوش ہوں	A	9.17	2.56	2.36	1	5.49	1	1.59
short	مختصر	long	طویل	A	1.23	3.61	3.18	2	5.36	1	1.58
stupid	بیوقوف	dumb	گونگا	A	9.58	1.75	2.36	1	5.26	1	1.48
weird	عجیب	strange	عجیب	A	8.93	1.59	1.86	1	4.26	1	1.3
wide	وسیع	narrow	تنگ	A	1.03	3.06	3.04	2	4.06	1	0.58
bad	برا	awful	خوفناک	A	8.42	1.68	1.92	1	3.41	1	1.74
easy	آسان	difficult	مشکل	A	0.58	2.07	2.21	1	2.83	1	0.36
bad	برا	terrible	خوفناک	A	7.78	1.68	2.04	1	2.31	1	1.43
hard	سخت	simple	سادہ	A	1.38	3.76	1.62	2	2.16	1	1.03
smart	ہوشیار	dumb	گونگا	A	0.55	1.75	2.36	1	2.1	1	0.47
insane	پاگل	crazy	پاگل	A	9.57	1.77	2.37	1	2.09	1	0.92
happy	خوش ہوں	mad	پاگل	A	0.95	2.56	2.76	2	2.07	1	1.4
large	بڑی	huge	بہت بڑا	A	9.47	3.37	3.54	2	2	1	1.27
hard	سخت	tough	مشکل	A	8.05	3.76	2.5	2	1.99	1	1.18
new	نئی	fresh	تازه	A	6.83	2.81	1.97	1	1.98	1	1.2
sharp	تیز	dull	سست	A	0.6	3.86	2.37	2	1.48	1	1.39
quick	فوری	rapid	تیز رفتار	A	9.7	2.89	3.07	2	1.38	1	1.14
dumb	گونگا	foolish	بیوقوف	A	6.67	2.36	1.84	1	1.34	1	1.36
wonderful	حیرت انگیز	terrific	خوفناک	A	8.63	1.82	2.07	1	1.17	1	1.63
strange	عجیب	odd	طاق	A	9.02	1.86	1.7	1	1.16	1	1.04
happy	خوش ہوں	angry	ناراض	A	1.28	2.56	2.53	1	1.15	1	1.41
narrow	تنگ	broad	وسیع	A	1.18	3.04	2.45	2	1	1	1.18
simple	سادہ	easy	آسان	A	9.4	1.62	2.07	1	0.96	1	1.51
old	پرانا	fresh	تازه	A	0.87	2.72	1.97	1	0.91	1	1.64
apparent	واضح	obvious	واضح 	A	8.47	1.73	2.07	1	0.89	1	1.52
inexpensive	سستی	cheap	سستا	A	8.72	2.22	2.11	1	0.79	1	0.81
nice	اچھا	generous	بے لوث	A	5	2.18	2.25	1	0.77	1	1.14
