word1-translated	word2-translated	SimLex999
پرانا	نئی	1.58
ہوشیار	ذہین	9.2
سخت	مشکل	8.77
خوش ہوں	خوشگوار	9.55
سخت	آسان	0.95
تیز	تیز رفتار	8.75
خوش ہوں	خوش ہوں	9.17
مختصر	طویل	1.23
بیوقوف	گونگا	9.58
عجیب	عجیب	8.93
وسیع	تنگ	1.03
برا	خوفناک	8.42
آسان	مشکل	0.58
برا	خوفناک	7.78
سخت	سادہ	1.38
ہوشیار	گونگا	0.55
پاگل	پاگل	9.57
خوش ہوں	پاگل	0.95
بڑی	بہت بڑا	9.47
سخت	مشکل	8.05
نئی	تازه	6.83
تیز	سست	0.6
فوری	تیز رفتار	9.7
گونگا	بیوقوف	6.67
حیرت انگیز	خوفناک	8.63
عجیب	طاق	9.02
خوش ہوں	ناراض	1.28
تنگ	وسیع	1.18
سادہ	آسان	9.4
پرانا	تازه	0.87
واضح	واضح 	8.47
سستی	سستا	8.72
اچھا	بے لوث	5.0
عجیب	عام	0.72
عجیب	طاق	9.2
برا	غیر اخلاقی	7.62
اداس	مضحکہ خیز	0.95
حیرت انگیز	زبردست	8.05
مجرم	شرمندہ	6.38
خوبصورت	حیرت انگیز	6.5
اعتماد	یقیناً	8.27
گونگا	گھنے	7.27
بڑی	بڑا	9.55
اچھا	ظالمانہ	0.67
بے حد	فکر مند	6.03
بڑا	وسیع	6.73
مضبوط	مغرور	3.17
غیر ضروری	ضروری 	0.63
بے حد	نوجوان	1.6
گونگا	ذہین	0.75
برا	زبردست	0.35
مشکل	سادہ	0.87
ضروری 	اہم 	7.37
برا	خوفناک	0.65
پاگل	خوش	1.45
ایماندار	مجرم	1.18
آسان	مشکل	0.52
آسان	لچکدار	4.1
کچھ	یقین ہے	8.42
ضروری	ضروری	8.97
مختلف	عام	1.08
مہلک	ہوشیار	7.25
اہم	اہم	8.82
سخت	ظالمانہ	8.18
بچپن	بیوقوف	5.5
کمر	نایاب	9.17
دوستانہ	بے لوث	5.9
خراب	فریب	2.38
طویل	تنگ	3.57
بڑا	بھاری	6.18
کهردرا	فریب	2.47
عجیب	عجیب	9.37
غیر قانونی	غیر اخلاقی	4.28
برا	مجرم	4.2
جدید	قدیم	0.73
نئی	قدیم	0.23
سست	مضحکہ خیز	0.55
خوش	نوجوان	2.0
آسان	بڑا	1.12
زبردست	خوفناک	1.17
چھوٹے	بہت بڑا	0.6
شائستہ	مناسب	7.63
معمولی	شرمندہ	2.65
غیر ملکی	نایاب	8.05
گونگا	ہوشیار	1.17
خوشگوار	حیرت انگیز	8.65
قابل ذکر	واضح	8.48
ڈر	فکر مند	5.07
رسمی	مناسب	8.02
ڈریری	سست	8.25
خوشگوار	خوشگوار	6.58
ناخوش	پاگل	5.95
اداس	خوفناک	5.4
بیمار	پاگل	3.57
پرتشدد	ناراض	6.98
لادن	بھاری	5.9
گندی	سستا	1.6
لچکدار	لچکدار	7.78
سخت	گھنے	5.9
حال ہی میں	نئی	7.05
جرات مندانہ	فخر	3.97
مہلک	عجیب	1.97
عجیب	مہلک	2.07
گونگا	نایاب	0.48
مہلک	مشکل	0.58
خوفناک	پاگل	0.4
معمولی	لچکدار	0.98
تازه	وسیع	0.4
بہت بڑا	گونگا	0.48
بڑی	لچکدار	0.48
گندی	تنگ	0.3
بیوی	شوہر	2.3
کتاب	متن	6.35
دولہا	دلہن	3.17
رات	دن	1.88
جنوب	شمال	2.2
ہوائی جہاز	ہوائی اڈے	3.65
چاچا	چاچی	5.5
گھوڑے	ہمارا	8.33
نیچے	اوپر	0.7
دوست	دوست	8.78
طالب علم	طالب علم	9.35
دنیا	دنیا	6.67
ٹانگ	بازو	2.88
ہوائی جہاز	جیٹ	8.1
عورت	آدمی	3.33
گھوڑے	کالٹ	7.07
اداکارہ	اداکار	7.12
استاد	انسٹرکٹر	9.25
فلم	فلم	8.87
پرندہ	ہاک	7.85
لفظ	لغت	3.68
پیسہ	تنخواہ	7.88
کتا	کیٹ	1.75
رقبہ	خطے	9.47
بحریہ	فوج	6.43
کتاب	ادب	7.53
کپڑے	الماری	3.27
غروب آفتاب	طلوع آفتاب	2.47
بچہ	بالغ	2.98
گائے	مویشیوں	9.52
کتاب	کہانی	5.63
موسم سرما	موسم گرما	2.38
ٹیکسی	ٹیکسی	9.2
درخت	میپل	5.53
بستر	بیڈروم	3.4
چھت	چھت	7.58
بیماری	انفیکشن	7.15
بازو	کندھے	4.85
بھیڑ	میمنے	8.42
خاتون	سلیمان	3.42
کشتی	لنگر	2.25
پادری	بندر	6.28
پیر	انگلی	4.68
دریا	ندی	7.3
غصہ	غصہ	8.73
تاریخ	کیلنڈر	4.42
سمندر	سمندر	8.27
دوسرا	منٹ	4.62
ہاتھ	انگوٹھے	3.88
لکڑی	لاگ ان	7.3
مٹی	گندگی	7.32
دالان	راہداری	9.28
راستہ	انداز	7.62
ماؤس	کیٹ	1.12
پولیس	شیرف	9.05
موت	دفن	4.93
موسیقی	مہودی	6.98
بیئر	شراب	7.5
منہ	ہپ	7.1
طوفان	طوفان	6.38
ٹیکس	آمدنی	2.38
پھول	وایلیٹ	6.95
کاغذ	گتے	5.38
فرش	چھت	1.73
ساحل سمندر	سمندر	8.33
چھڑی	پردے	3.03
ہاؤنڈ	لومڑی	2.38
سڑک	گلی	5.48
کشتی	ڈیک	4.28
کار	سینگ	2.57
دوست	مہمان	4.25
آجر	ملازم	3.65
ہاتھ	کلائی	3.97
گیند	تپ	2.58
شراب	برینڈی	6.98
فتح	فتح	8.98
ٹیلی فون	بوٹ	3.63
دروازہ	راہ گزر	5.4
موٹل	سرائے	8.17
کپڑے	کپڑا	5.47
سٹیک	گوشت	7.47
کیل	انگوٹھے	3.55
بینڈ	آرکسٹرا	7.08
کتاب	بائبل	5.0
کاروبار	صنعت	7.02
موسم سرما	موسم	6.27
دہائی	صدی	3.48
شراب	گن	8.65
ٹوپی	کوٹ	2.67
ونڈو	دروازہ	3.33
بازو	کلائی	3.57
گھر	اپارٹمنٹ	5.8
گلاس	کرسٹل	6.27
شراب	برینڈی	5.15
خالق	بنانے والا	9.62
رات کا کھانا	ناشتہ	3.33
بازو	پٹھوں	3.72
بلبلا	سوڈ	8.57
روٹی	آٹا	3.33
موت	سانحہ	5.8
عدم موجودگی	موجودگی	0.4
بندوق	تپ	5.68
گھاس	بلیڈ	4.57
گیند	ٹوکری	1.67
نلی	باغ	1.67
لڑکا	بچہ	7.5
چرچ	کوائر	2.95
کپڑے	دراج	3.02
ٹاور	گھنٹی	1.9
باپ	والدین	7.07
اسکول	گریڈ	4.42
والدین	بالغ	5.37
بار	جیل	1.9
کار	ہائی وے	3.4
لغت	تعریف	6.25
دروازہ	سیلار	1.97
فوج	بڑا لشکر	5.95
دھاتی	ایلومینیم	7.25
کرسی	بینچ	6.67
بادل	دھند	6.0
لڑکا	بیٹا	6.75
پانی	برف	6.47
بستر	کمبل	3.02
اٹارنی	وکیل	9.35
رقبہ	زون	8.33
کاروبار	کمپنی	9.02
کپڑے	کپڑے	5.87
سویٹر	جیکٹ	7.15
پیسہ	دارالحکومت	6.67
ہاتھ	پاؤں	4.17
شراب	کاکلا	6.73
یارڈ	انچ	3.78
انو	ایٹم	6.45
لینس	کیمرے	4.28
کھانا	رات کا کھانا	7.15
آنکھ	آنسو	3.55
خدا	شیطان	1.8
لوپ	بیلٹ	3.1
چوہا	ماؤس	7.78
موٹر	انجن	8.65
کار	ٹیکسی	7.42
کیٹ	شیر	6.75
سائز	شدت	6.33
حقیقت	تصور	1.03
دروازہ	دروازہ	5.25
کیٹ	پالتو جانور	5.95
ٹن	ایلومینیم	6.42
ہڈی	جبڑے	4.17
اناج	گندم	3.75
گھر	کلیدی	1.9
خون	گوشت	4.28
دروازہ	راہداری	3.73
خدا	روح	7.3
صلاحیت	صلاحیت	7.62
کثرت	کافی	8.97
سوفا	کرسی	6.67
دیوار	اینٹوں	4.68
سینگ	ڈھول	2.68
عضو	جگر	6.15
طاقت	شاید	7.07
جملہ	لفظ	5.48
بینڈ	پریڈ	3.92
پیٹ	کمر	5.9
بادل	طوفان	5.6
خوشی	فخر	5.0
شور	گھبراہٹ	6.17
بارش	دوبد	5.97
بیئر	مشروبات	5.42
آدمی	چاچا	3.92
سیب	رس	2.88
انٹیلی جنس	منطق	6.5
مواصلات	زبان	7.47
منک	فر	6.83
موک	بھیڑ	7.85
ساحل	ساحل	8.83
تار	ہڈی	7.62
پرندہ	ترکی	6.58
بستر	کیڑے	7.3
صلاحیت	صلاحیت	7.5
بادل	بھولبلییا	7.32
کھانا	کھانا	7.53
بار	پنجرا	2.8
پانی	نمک	1.3
احساس	انضمام	7.68
صورت حال	حالت	6.58
